Pipe ID ,Pipe Identification,Pipe Diameter,Pipe Material,Pipe Roughness,Pipe Construction Year,Age ,Pipe Measured Length,Degradation rate,Effect factor,X_Coordinates,Y_Coordinates,Elevation_(m) with Sea level,BREAK_DATE,BREAK_YEAR,XCOORD,YCOORD,Break_Count,Pipe Location Description
16113,LN1006449,150,CI,95,1923,56,5.1,2,0.12,-79.39114462,43.64989414,89,4/12/2010,2010,313551.326,4834218.615,1,EDITH DR
16174,LN100121,250,CI,95,1925,56,84.7,2,0.12,-79.55263274,43.66311,143,3/9/2011,2011,300532.088,4835684.339,1,BLANTYRE AVE
16277,LN1351943,150,CI,110,1876,56,103.57,1.5,0.12,-79.29919993,43.79973415,184,1/24/1998,1998,320941.988,4850883.958,1,RICHMOND ST E
16312,LN1370254,150,CI,120,1876,56,232.2,1,0.12,-79.36503753,43.80319141,174,11/29/2011,2011,315665.008,4851258.659,1,NIAGARA ST
16670,LN4024863,300,DIP,95,1968,56,173.3,2,0.12,-79.38073363,43.67627488,117,9/10/2016,2016,314393.226,4837140.576,1,KINGSLAKE RD
16917,LN1004303,150,CI,95,1922,56,216.8,2,0.12,-79.36800531,43.71490134,135,2/27/2008,2008,315416.055,4841462.822,1,MONTGOMERY AVE
16949,LN1359187,150,CI,95,1913,56,90.5,2,0.12,-79.35989713,43.71469248,129,1/21/1999,1999,316063.434,4841417.507,1,MORRISON AVE
17235,LN106755,300,AC,95,1965,56,146.6,2,0.12,-79.43969738,43.79266158,191,11/22/2004,2004,309638.713,4850072.078,1,ELLESMERE RD
17363,LN101258,400,CI,130,1925,56,2.3,0.75,0.6,-79.35164051,43.66302797,85.75089129,1/12/2001,2001,316756.054,4835688.425,1,WARDEN AVE
17369,LN103933,150,CI,120,1954,56,133.9,1.5,0.931034483,-79.55302051,43.66384796,142,6/3/2008,2008,300511.971,4835759.612,1,BROADBENT AVE
17434,LN4030898,150,PVC,95,1998,56,95.1,2,0.12,-79.20796073,43.79077253,151,12/2/1994,1994,328286.906,4849909.927,1,VIA TORRE DR
17498,LN1353619,150,CI,95,1924,56,221.2,2,0.12,-79.50061759,43.64113841,113,11/19/1995,1995,304734.481,4833243.483,1,THURSTON RD
17519,LN105417,200,CI,120,1965,56,7.3,1,0.12,-79.57755943,43.65751987,148,2/2/1996,1996,298524.611,4835076.69,1,LAWRENCE AVE E
17658,LN4034305,300,CI,95,1962,56,103.9,2,0.12,-79.55981431,43.69984317,151,3/12/1996,1996,299963.367,4839767.033,1,MCNICOLL AVE
17662,LN2005939,600,UNK,95,1954,56,105.3,2,0.12,-79.33240658,43.68138711,116,12/9/2003,2003,318295.725,4837739.1,1,Market Garden Mews
17724,LN1357356,150,CI,110,1892,56,64.6,1.5,0.12,-79.56124174,43.73536003,151,2/3/2001,2001,299853.539,4843710.476,1,QUEENS PARK CRES W
17810,LN4031482,300,CI,130,1951,56,100.6,0.25,0.6,-79.55665906,43.67367458,156,2/12/1996,1996,300217.199,4836859.054,1,BATHURST ST
18316,LN4019794,300,CI,95,1972,56,210.1,2,0.12,-79.49967835,43.67157835,125,12/3/1994,1994,304811.362,4836626.475,1,PLUNKETT RD
18460,LN4031654,300,CI,110,1956,56,148,1.5,0.12,-79.30783545,43.72216442,142,4/25/2002,2002,320261.798,4842266.751,1,BATHURST ST
18665,LN102941,150,CI,95,1956,56,74.3,2,0.12,-79.32511401,43.74200506,132,12/27/1990,1990,318884.758,4844467.956,1,PAGET RD
18869,LN1351316,150,DICL,95,1971,56,89.45,2,0.12,-79.24693284,43.74753032,160,1/14/1991,1991,325172.469,4845105.1,1,BRYNHURST CRT
19018,LN110180,150,CI,110,1966,56,87.7,1.5,0.12,-79.31922877,43.77167242,172,1/12/2002,2002,319344.363,4847755.877,1,COMSTOCK RD
19251,LN1353775,150,CI,95,1912,56,195.3,2,0.12,-79.31621416,43.78043582,180,2/17/2002,2002,319578.94,4848734.784,1,BROWNING AVE
19292,LN4033534,400,DIP,115,1981,56,163.8,1,0.12,-79.53729115,43.67570023,154,12/16/2005,2005,301780.11,4837095.029,1,ST DENNIS DR
19323,LN4019633,150,CI,95,1958,56,415.53,2,0.12,-79.40730169,43.64162368,83.00841764,5/5/1994,1994,312269.194,4833303.941,1,PATRICIA AVE
20182,LN10741,150,CI,115,1928,56,86.2,1,0.12,-79.41807342,43.75832387,177,2/22/2005,2005,311389.828,4846268.846,1,RUSHTON RD
20560,LN102334,150,CI,95,1960,56,91.7,2,0.12,-79.2964627,43.7097606,142,2/17/1994,1994,321187.595,4840884.711,1,FREEMAN ST
20696,LN4031494,150,PVC,110,1996,56,460.8,1.5,0.12,-79.52958093,43.66207547,145,2/21/1990,1990,302407.71,4835556.899,1,FLAVIAN CRES
20821,LN1007967,150,CI,95,1911,56,77.8,2,0.12,-79.56439099,43.67096378,143.6948501,1/27/1997,1997,299603.012,4836563.524,1,RUNNYMEDE RD
20855,LN4036503,150,PVC,95,1994,56,84.4,2,0.12,-79.44340754,43.7448972,189,8/24/2004,2004,309341.174,4844776.847,1,CODSELL AVE
21314,LN104488,150,CI,110,1959,56,303.91,1.5,0.12,-79.54857929,43.65240851,139.7922358,9/19/1994,1994,300866.007,4834497.149,1,BENDALE BLVD
21432,LN4028972,150,CI,95,1954,56,112.9,2,0.12,-79.60320942,43.75046743,165,11/11/1991,1991,296473.502,4845397.696,1,THURODALE AVE
21434,LN1357450,300,CI,130,1892,56,100.4,0.75,0.6,-79.3029117,43.75540183,169,12/11/2008,2008,320648.651,4845957.777,1,YONGE ST
21842,LN3007984,150,CI,130,1947,56,91.29,0.75,0.6,-79.28920417,43.71848167,155,11/19/1993,1993,321762.952,4841856.09,1,PARKVIEW HILL CRES
21864,LN1366908,150,CI,95,1886,56,278.5,2,0.12,-79.34692873,43.69294345,125,11/30/2000,2000,317121.361,4839018.5,1,OSSINGTON AVE
21876,LN21820,600,CI,95,1923,56,264.3,2,0.12,-79.60400003,43.74931375,165,3/3/1995,1995,296407.652,4845267.309,1,CALEDONIA PARK RD
21944,LN4005383,150,CI,95,1957,56,190.4,2,0.12,-79.43778939,43.78594019,190,2/2/1996,1996,309805.013,4849337.148,1,CHISWICK AVE
21986,LN1360183,150,CI,110,1930,56,169.8,1.5,0.12,-79.54881457,43.74625586,145,12/9/1998,1998,300857.63,4844936.511,1,VERBENA AVE
22003,LN4021953,150,CI,95,1962,56,393.6,2,0.12,-79.5651294,43.72926962,146,10/16/1993,1993,299528.094,4843030.353,1,DRYSDALE CRES
22076,LN328,300,CI,120,1917,56,114.9,1,0.12,-79.49860646,43.66553344,117,2/13/2004,2004,304897.92,4835946.624,1,ST CLAIR AVE W
22274,LN4030235,300,CI,95,1971,56,194.0900585,1,0.4,-79.48716968,43.72993771,179,1/31/1992,1992,305804.751,4843105.568,1,RAITHERM RD
22398,LN1353671,150,CI,120,1912,56,368.515337,1,0.12,-79.43775702,43.78594703,190,2/2/1996,1996,309805.013,4849337.148,1,DAVISVILLE AVE
22404,LN12631,150,CI,95,1921,56,98.6,2,0.12,-79.46907372,43.72664542,184,1/18/1995,1995,307284.957,4842755.153,1,GLENHOLME AVE
22472,LN4034974,150,CI,130,1967,56,186.29,0.75,0.6,-79.47654669,43.66070147,116,2/2/2005,2005,306671.369,4835433.558,1,JOICEY BLVD
22816,LN110658,150,PVC,115,1987,56,395.3,1,0.12,-79.56900622,43.71894607,158,1/29/1994,1994,299230.133,4841875.152,1,GASLIGHT CRES
22940,LN1353499,150,CI,110,1929,56,263.8,1.5,0.12,-79.23928174,43.74065523,160,6/29/1993,1993,325778.262,4844319.487,1,MC KENZIE AVE
23187,LN104544,150,CI,95,1957,56,187.2,2,0.12,-79.45797222,43.75368652,194,11/3/2011,2011,308181.125,4845751.949,1,WETHERBY DR
23576,LN2444573,300,DIP,95,1977,56,67.3,2,0.12,-79.40695107,43.78149744,190,11/22/1997,1997,312271.876,4848849.009,1,ATTWELL DR
23621,LN100788,300,CI,120,1950,56,88.4,1,0.12,-79.43487903,43.63399374,87,3/20/1992,1992,310033.487,4832448.958,1,PHARMACY AVE
23689,LN1016058,600,CI,95,1874,56,126.4,2,0.12,-79.27167419,43.69845348,143.3982829,3/11/1997,1997,323183.51,4839647.944,1,YONGE ST
23694,LN2448995,200,PVC,95,2000,56,60.01,2,0.12,-79.38196064,43.73605095,154,2/16/2007,2007,314296.95,4843790.569,1,THIRTIETH ST
23844,LN12321,300,CI,110,1966,56,162.6725764,1.5,0.12,-79.5873456,43.74349927,158,7/21/1994,1994,297755.621,4844621.536,1,HUMBER BLVD
23976,LN1369628,150,CI,95,1913,56,185.5,2,0.12,-79.32368472,43.74831529,151.9572407,10/28/2003,2003,318995.756,4845172.385,1,INDIAN GRV
23997,LN2445237,150,PVC,95,1988,56,59.7,2,0.12,-79.51069542,43.6831174,114,12/28/1993,1993,303929.961,4837908.909,1,HONEYVIEW PL
24003,LN4025052,150,CI,115,1954,56,69.31,1,0.12,-79.39388436,43.74035215,122.3282168,3/10/1998,1998,313338.045,4844288.745,1,LARKFIELD DR
24101,LN2452631,150,CI,95,1930,56,514.6,2,0.12,-79.5179372,43.5978315,87,7/4/2014,2014,303332.805,4828443.662,1,Westridge Rd
24549,LN105372,150,CI,95,1958,56,56.14,2,0.12,-79.40487486,43.66896609,116,4/16/2015,2015,312449.684,4836357.319,1,THORNBECK DR
24568,LN107880,200,PVC,95,1985,56,85.6,2,0.12,-79.30222112,43.669673,79.3590733,1/23/1992,1992,320744.022,4836431.528,1,GOLDERS GREEN AVE
